sms_id,SMS_texte,SMS_profondeur_arbre_max,SMS_profondeur_arbre_moy,SMS_distance_dependance_max,SMS_distance_dependance_moy,SMS_distance_dependance_var,SMS_nb_dependances_moy_phrase,SMS_nb_dependances_var_phrase,SMS_nb_phrases,SMS_nb_tokens,Transcodage_1_texte,Transcodage_1_profondeur_arbre_max,Transcodage_1_profondeur_arbre_moy,Transcodage_1_distance_dependance_max,Transcodage_1_distance_dependance_moy,Transcodage_1_distance_dependance_var,Transcodage_1_nb_dependances_moy_phrase,Transcodage_1_nb_dependances_var_phrase,Transcodage_1_nb_phrases,Transcodage_1_nb_tokens,Transcodage_2_texte,Transcodage_2_profondeur_arbre_max,Transcodage_2_profondeur_arbre_moy,Transcodage_2_distance_dependance_max,Transcodage_2_distance_dependance_moy,Transcodage_2_distance_dependance_var,Transcodage_2_nb_dependances_moy_phrase,Transcodage_2_nb_dependances_var_phrase,Transcodage_2_nb_phrases,Transcodage_2_nb_tokens,divergence_score
302,Ouai grave,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,Ouais grave,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,Ouais grave,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0
303,"Salut, oui si tu veux, demain midi.
Remet toi bien :-)
Bonne soirée, a demain.",4.0,4.0,11.0,3.05,8.647499999999999,10.0,1.0,2.0,22.0,"Salut, oui si tu veux, demain midi.
Remets-toi bien :-)
Bonne soirée, à demain.",5.0,4.5,12.0,2.9523809523809526,8.426303854875284,10.5,2.25,2.0,23.0,"Salut, oui si tu veux, demain midi.
Remets-toi bien :-)
Bonne soirée, à demain.",5.0,4.5,12.0,2.9523809523809526,8.426303854875284,10.5,2.25,2.0,23.0,2.0976190476190473
304,Une quinzaine d'heures environ ms bon le contenu est + costaud je dirai! Genre l'an dernier on avait 2 livres par semestre a lire en littérature et ce semestre c 8 livres!!! Enfin bon ca a l'air intéressant dc ca va^^,5.0,4.333333333333333,14.0,2.8,8.959999999999997,16.666666666666668,21.555555555555554,3.0,53.0,Une quinzaine d'heures environ mais bon le contenu est plus costaud je dirais ! Genre l'an dernier on avait 2 livres par semestre à lire en littérature et ce semestre c'est 8 livres!!! Enfin bon ça a l'air intéressant donc ça va ^^,5.0,4.333333333333333,22.0,3.25,16.572115384615383,17.333333333333332,30.888888888888886,3.0,55.0,Une quinzaine d'heures environ mais bon le contenu est plus costaud je dirais ! Genre l'an dernier on avait 2 livres par semestre à lire en littérature et ce semestre c'est 8 livres !!! Enfin bon ça a l'air intéressant donc ça va ^^,5.0,4.333333333333333,22.0,3.25,16.572115384615383,17.333333333333332,30.888888888888886,3.0,55.0,8.45
305,^^,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,^^,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,^^,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0
306,Ouai grave lo,3.0,3.0,2.0,1.5,0.25,2.0,0.0,1.0,3.0,Ouais grave lol,3.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,Ouais grave lol,3.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,1.5
307,Tkt c'est normal,2.0,2.0,4.0,2.5,1.25,4.0,0.0,1.0,5.0,T'inquiète c'est normal,3.0,3.0,4.0,2.1666666666666665,1.1388888888888888,6.0,0.0,1.0,7.0,T'inquiète c'est normal,3.0,3.0,4.0,2.1666666666666665,1.1388888888888888,6.0,0.0,1.0,7.0,1.3333333333333335
308,Ms t avec qui?,3.0,3.0,4.0,2.25,1.6875,4.0,0.0,1.0,5.0,Mais t'es avec qui ?,3.0,3.0,3.0,2.0,0.6666666666666666,6.0,0.0,1.0,7.0,Mais t'es avec qui ?,3.0,3.0,3.0,2.0,0.6666666666666666,6.0,0.0,1.0,7.0,1.25
309,Tu rentrer pas cette semaine ? T sensé etre chez ton père ou ta mère ?,5.0,4.0,8.0,2.2857142857142856,3.4897959183673466,7.0,4.0,2.0,16.0,Tu rentrais pas cette semaine ? T'es sensé être chez ton père ou ta mère ?,5.0,4.0,8.0,2.3125,3.08984375,8.0,9.0,2.0,18.0,Tu rentrais pas cette semaine ? Tu es censé être chez ton père ou ta mère ?,5.0,4.0,8.0,2.2666666666666666,3.2622222222222224,7.5,6.25,2.0,17.0,0.04583333333333339
310,Jean Pierre et Julie,4.0,4.0,2.0,1.3333333333333333,0.2222222222222222,3.0,0.0,1.0,4.0,Jean Pierre et Julie,4.0,4.0,2.0,1.3333333333333333,0.2222222222222222,3.0,0.0,1.0,4.0,Jean Pierre et Julie,4.0,4.0,2.0,1.3333333333333333,0.2222222222222222,3.0,0.0,1.0,4.0,0.0
311,Ok^^,3.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,OK ^^,3.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,O.K. ^^,3.0,2.5,3.0,1.75,0.6875,2.0,1.0,2.0,6.0,3.75
312,Coucou pas de souci je suis là jusqu'à demain matin et cet aprèm on risque d'aller à l' œil doux. Pas grave pour la boucle ;) bisous et bon courage pour le taf,5.0,5.0,20.0,2.8947368421052633,11.620498614958445,19.0,36.0,2.0,40.0,Coucou pas de souci je suis là jusqu'à demain matin et cet après-midi on risque d'aller à l' œil doux. Pas grave pour la boucle ;) bisous et bon courage pour le taf,6.0,5.5,22.0,2.925,13.869375,20.0,49.0,2.0,42.0,Coucou pas de souci je suis là jusqu'à demain matin et cet après-midi on risque d'aller à l'œil doux. Pas grave pour la boucle ;) bisous et bon courage pour le taf,6.0,5.5,22.0,2.925,13.869375,20.0,49.0,2.0,42.0,3.0302631578947365
