structure,sms_global_moy,sms_global_total,sms_best_moy (fsmb),philo_global_moy,philo_global_total,philo_best_moy (gsd),lemonde_moy,lemonde_total
subordonnees_qui,0.014886085141145502,492,0.0,0.349,3141,0.4226110363391655,0.19778796870785,3666
subordonnees_que,0.006868173428943148,227,0.0,0.08688888888888889,782,0.09421265141318977,0.050175343943889936,930
subordonnees_prep_lequel,0.0,0,0.0,0.05311111111111111,478,0.0639300134589502,0.031130294038305906,577
subordonnees_dont,0.0010589694714229524,35,0.0,0.034888888888888886,314,0.0423956931359354,0.07596439169139466,1408
completives,0.23155123899428157,7653,0.0,0.8078888888888889,7271,1.0296096904441454,0.4411653628270839,8177
hypothetiques,0.040180327372848025,1328,0.0,0.10522222222222222,947,0.12314939434724091,0.009819260857836526,182
gerondif,0.0002723064355087592,9,0.0,0.014666666666666666,132,0.0,0.026436471540329107,490
incises,0.08387038213669783,2772,0.0,0.4051111111111111,3646,0.5127860026917901,0.28227677367143245,5232
propositions_coordonnees,0.06169253577804,2039,0.0,0.24522222222222223,2207,0.33378196500672946,0.13164283787429187,2440
