texte_id,desaccord_total
1,46.174
2,140.345
3,20.88
4,45.898
5,2.01
6,14.406
7,59.134
8,19.904
9,18.224
10,6.25
11,7.733
12,15.931
13,75.077
14,24.995
15,96.618
16,7.482
17,24.987
18,7.077
19,344.827
20,4.449
21,66.608
22,2.922
23,42.305
24,51.639
25,2.583
26,18.741
27,11.053
28,0.0
29,37.803
30,4.222
31,14.08
32,34.88
33,60.711
34,8.285
35,7.556
36,0.0
37,6.905
38,56.765
39,0.583
40,13.422
41,48.27
42,1.75
43,11.55
44,86.747
45,1.029
46,16.125
47,31.589
48,20.883
49,25.768
50,13.531
51,6.444
52,9.801
53,12.542
54,55.934
55,47.575
56,23.561
57,67.386
58,52.108
59,113.433
60,17.138
61,5.25
62,137.921
63,14.385
64,41.817
65,377.751
66,11.833
67,13.083
68,46.27
69,0.0
70,25.294
71,76.094
72,1.75
73,5.603
74,2.975
75,8.1
76,15.022
77,6.932
78,12.267
79,64.384
80,37.648
81,20.571
82,23.333
83,10.535
84,19.813
85,1.224
86,0.0
87,28.673
88,17.672
89,13.469
90,5.993
91,0.0
92,17.667
93,19.592
94,11.347
95,10.667
96,0.0
97,46.517
98,169.383
99,32.125
100,0.0
101,14.189
102,90.353
103,12.188
104,19.331
105,69.625
106,64.445
107,18.882
108,189.201
109,70.255
110,10.375
111,60.188
112,6.209
113,43.225
114,470.561
115,47.337
116,7.708
117,0.0
118,12.331
119,7.25
120,81.602
121,0.0
122,4.241
123,29.4
124,14.745
125,7.889
126,52.009
127,35.558
128,9.608
129,87.73
130,37.949
131,61.276
132,113.98
133,63.696
134,89.822
135,78.831
136,62.427
137,3.673
138,151.355
139,69.624
140,36.357
141,32.95
142,4.0
143,35.176
144,54.963
145,17.694
146,16.5
147,26.306
148,63.999
149,14.306
150,28.443
151,22.688
152,12.607
153,15.857
154,5.602
155,26.25
156,8.215
157,17.865
158,10.667
159,24.938
160,73.835
161,12.15
162,29.591
163,14.472
164,7.942
165,0.0
166,22.974
167,2.711
168,6.0
169,15.562
170,6.955
171,1.818
172,11.441
173,3.111
174,19.957
175,41.618
176,8.995
177,25.315
178,15.875
179,7.668
180,55.32
181,7.515
182,0.0
183,26.25
184,25.469
185,43.061
186,5.7
187,27.52
188,6.938
189,15.006
190,5.913
191,7.0
192,16.56
193,121.04
194,0.0
195,0.0
196,11.222
197,0.0
198,44.49
199,6.0
200,0.0
201,14.139
202,0.0
203,0.0
204,28.99
205,8.671
206,0.0
207,10.667
208,25.041
209,7.273
210,12.0
211,20.0
212,10.62
213,11.551
214,28.009
215,0.0
216,2.0
217,28.762
218,29.228
219,6.0
220,7.8
221,28.531
222,6.84
223,6.873
224,22.25
225,52.311
226,6.669
227,24.658
228,20.338
229,6.228
230,22.592
231,10.198
232,56.238
233,61.982
234,43.937
235,6.777
236,1.667
237,0.0
238,12.0
239,14.889
