corpus,feature,modele_1,modele_2,pearson_r,p_value,n
Transcodage_2,distance_dependance_moy,rhapsodie,zenodo-spoken,0.9083,0.0,998
Transcodage_2,distance_dependance_moy,rhapsodie,stanza,0.8079,5.868030909322098e-231,998
Transcodage_2,distance_dependance_moy,zenodo-spoken,stanza,0.839,1.604118628357257e-265,998
Transcodage_2,distance_dependance_var,gsd,fsmb,0.8002,2.085377614515923e-223,998
Transcodage_2,distance_dependance_var,gsd,sequoia,0.8698,7.614430041007798e-308,998
Transcodage_2,distance_dependance_var,gsd,rhapsodie,0.8139,3.87781014433038e-237,998
Transcodage_2,distance_dependance_var,gsd,zenodo-spoken,0.8963,0.0,998
Transcodage_2,distance_dependance_var,gsd,stanza,0.8025,1.2631908116173139e-225,998
Transcodage_2,distance_dependance_var,fsmb,sequoia,0.8798,1e-323,998
Transcodage_2,distance_dependance_var,fsmb,rhapsodie,0.7903,3.7522523057034465e-214,998
Transcodage_2,distance_dependance_var,fsmb,zenodo-spoken,0.8019,5.3374815429765714e-225,998
Transcodage_2,distance_dependance_var,fsmb,stanza,0.7738,9.536501664009012e-200,998
Transcodage_2,distance_dependance_var,sequoia,rhapsodie,0.8341,1.4829006720075942e-259,998
Transcodage_2,distance_dependance_var,sequoia,zenodo-spoken,0.8708,2.123559231918815e-309,998
Transcodage_2,distance_dependance_var,sequoia,stanza,0.8023,2.061200624264581e-225,998
Transcodage_2,distance_dependance_var,rhapsodie,zenodo-spoken,0.8797,1e-323,998
Transcodage_2,distance_dependance_var,rhapsodie,stanza,0.8246,1.2549680173697055e-248,998
Transcodage_2,distance_dependance_var,zenodo-spoken,stanza,0.8229,8.100885204482448e-247,998
Transcodage_2,nb_dependances_moy_phrase,gsd,fsmb,1.0,0.0,998
Transcodage_2,nb_dependances_moy_phrase,gsd,sequoia,1.0,0.0,998
Transcodage_2,nb_dependances_moy_phrase,gsd,rhapsodie,1.0,0.0,998
Transcodage_2,nb_dependances_moy_phrase,gsd,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_dependances_moy_phrase,gsd,stanza,0.9118,0.0,998
Transcodage_2,nb_dependances_moy_phrase,fsmb,sequoia,1.0,0.0,998
Transcodage_2,nb_dependances_moy_phrase,fsmb,rhapsodie,1.0,0.0,998
Transcodage_2,nb_dependances_moy_phrase,fsmb,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_dependances_moy_phrase,fsmb,stanza,0.9118,0.0,998
Transcodage_2,nb_dependances_moy_phrase,sequoia,rhapsodie,1.0,0.0,998
Transcodage_2,nb_dependances_moy_phrase,sequoia,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_dependances_moy_phrase,sequoia,stanza,0.9118,0.0,998
Transcodage_2,nb_dependances_moy_phrase,rhapsodie,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_dependances_moy_phrase,rhapsodie,stanza,0.9118,0.0,998
Transcodage_2,nb_dependances_moy_phrase,zenodo-spoken,stanza,0.9118,0.0,998
Transcodage_2,nb_dependances_var_phrase,gsd,fsmb,1.0,0.0,998
Transcodage_2,nb_dependances_var_phrase,gsd,sequoia,1.0,0.0,998
Transcodage_2,nb_dependances_var_phrase,gsd,rhapsodie,1.0,0.0,998
Transcodage_2,nb_dependances_var_phrase,gsd,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_dependances_var_phrase,gsd,stanza,0.8069,6.415307306318358e-230,998
Transcodage_2,nb_dependances_var_phrase,fsmb,sequoia,1.0,0.0,998
Transcodage_2,nb_dependances_var_phrase,fsmb,rhapsodie,1.0,0.0,998
Transcodage_2,nb_dependances_var_phrase,fsmb,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_dependances_var_phrase,fsmb,stanza,0.8069,6.415307306318358e-230,998
Transcodage_2,nb_dependances_var_phrase,sequoia,rhapsodie,1.0,0.0,998
Transcodage_2,nb_dependances_var_phrase,sequoia,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_dependances_var_phrase,sequoia,stanza,0.8069,6.415307306318358e-230,998
Transcodage_2,nb_dependances_var_phrase,rhapsodie,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_dependances_var_phrase,rhapsodie,stanza,0.8069,6.415307306318358e-230,998
Transcodage_2,nb_dependances_var_phrase,zenodo-spoken,stanza,0.8069,6.415307306318358e-230,998
Transcodage_2,nb_phrases,gsd,fsmb,1.0,0.0,998
Transcodage_2,nb_phrases,gsd,sequoia,1.0,0.0,998
Transcodage_2,nb_phrases,gsd,rhapsodie,1.0,0.0,998
Transcodage_2,nb_phrases,gsd,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_phrases,gsd,stanza,0.944,0.0,998
Transcodage_2,nb_phrases,fsmb,sequoia,1.0,0.0,998
Transcodage_2,nb_phrases,fsmb,rhapsodie,1.0,0.0,998
Transcodage_2,nb_phrases,fsmb,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_phrases,fsmb,stanza,0.944,0.0,998
Transcodage_2,nb_phrases,sequoia,rhapsodie,1.0,0.0,998
Transcodage_2,nb_phrases,sequoia,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_phrases,sequoia,stanza,0.944,0.0,998
Transcodage_2,nb_phrases,rhapsodie,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_phrases,rhapsodie,stanza,0.944,0.0,998
Transcodage_2,nb_phrases,zenodo-spoken,stanza,0.944,0.0,998
Transcodage_2,nb_tokens,gsd,fsmb,1.0,0.0,998
Transcodage_2,nb_tokens,gsd,sequoia,1.0,0.0,998
Transcodage_2,nb_tokens,gsd,rhapsodie,1.0,0.0,998
Transcodage_2,nb_tokens,gsd,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_tokens,gsd,stanza,0.9947,0.0,998
Transcodage_2,nb_tokens,fsmb,sequoia,1.0,0.0,998
Transcodage_2,nb_tokens,fsmb,rhapsodie,1.0,0.0,998
Transcodage_2,nb_tokens,fsmb,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_tokens,fsmb,stanza,0.9947,0.0,998
Transcodage_2,nb_tokens,sequoia,rhapsodie,1.0,0.0,998
Transcodage_2,nb_tokens,sequoia,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_tokens,sequoia,stanza,0.9947,0.0,998
Transcodage_2,nb_tokens,rhapsodie,zenodo-spoken,1.0,0.0,998
Transcodage_2,nb_tokens,rhapsodie,stanza,0.9947,0.0,998
Transcodage_2,nb_tokens,zenodo-spoken,stanza,0.9947,0.0,998
