corpus,feature,modele_1,modele_2,pearson_r,p_value,n
Texte,profondeur_arbre_max,fsmb,rhapsodie,0.682,8.58257730495969e-146,1059
Texte,profondeur_arbre_moy,fsmb,rhapsodie,0.6858,5.133010992352176e-148,1059
Texte,distance_dependance_max,fsmb,rhapsodie,0.9703,0.0,1059
Texte,distance_dependance_moy,fsmb,rhapsodie,0.8363,3.387465647851784e-278,1059
Texte,distance_dependance_var,fsmb,rhapsodie,0.9186,0.0,1059
Texte,nb_dependances_moy_phrase,fsmb,rhapsodie,1.0,0.0,1059
Texte,nb_dependances_var_phrase,fsmb,rhapsodie,1.0,0.0,1059
Texte,nb_phrases,fsmb,rhapsodie,1.0,0.0,1059
Texte,nb_tokens,fsmb,rhapsodie,1.0,0.0,1059
